,Daira,Nombre de communes,Communes,Wilaya
0,Bir Bou Haouch,3,Bir Bou Haouch • Zouabi • Safel El Ouiden,Souk-Ahras
1,Heddada,3,Heddada • Khedara • Ouled Moumen,Souk-Ahras
2,M'daourouch,3,M'daourouch • Tiffech • Ragouba,Souk-Ahras
3,Mechroha,2,Mechroha • Hanancha,Souk-Ahras
4,Merahna,3,Merahna • Ouillen • Sidi Fredj,Souk-Ahras
5,Ouled Driss,2,Ouled Driss • Aïn Zana,Souk-Ahras
6,Oum El Adhaim,3,Oum El Adhaim • Terraguelt • Oued Keberit,Souk-Ahras
7,Sedrata,3,Sedrata • Khemissa • Aïn Soltane,Souk-Ahras
8,Souk Ahras,1,Souk Ahras,Souk-Ahras
9,Taoura,3,Taoura • Dréa • Zaarouria,Souk-Ahras
