,Daira,Nombre de communes,Communes,Wilaya
0,Aïn Djasser,2,Aïn Djasser • El Hassi,Batna
1,Aïn Touta,4,Aïn Touta • Ben Foudhala El Hakania • Maafa • Ouled Aouf,Batna
2,Arris,2,Arris • Tighanimine,Batna
3,Barika,3,Barika • M'doukel • Bitam,Batna
4,Batna,3,Batna • Fesdis • Oued Chaaba,Batna
5,Bouzina,2,Bouzina • Larbaâ,Batna
6,Chemora,2,Chemora • Boulhilat,Batna
7,Djezzar,3,Djezzar • Ouled Ammar • Abdelkader Azil,Batna
8,El Madher,4,El Madher • Aïn Yagout • Boumia • Djerma,Batna
9,Ichmoul,3,Ichmoul • Foum Toub • Inoughissen,Batna
10,Menaa,2,Menaa • Tigherghar,Batna
11,Merouana,4,Merouana • Oued El Ma • Ksar Bellezma • Hidoussa,Batna
12,N'Gaous,3,N'Gaous • Boumagueur • Sefiane,Batna
13,Ouled Si Slimane,3,Ouled Si Slimane • Taxlent • Lemsane,Batna
14,Ras El Aioun,6,Ras Ei Aioun • Gosbat • Guigba • Rahbat • Talkhamet • Ouled Sellam,Batna
15,Seggana,2,Seggana • Tilatou,Batna
16,Seriana,3,Seriana • Lazrou • Zanat El Beida,Batna
17,T'kout,3,T'Kout • Kimmel • Ghassira,Batna
18,Tazoult,2,Tazoult • Ouyoun El Assafir,Batna
19,Teniet El Abed,3,Teniet El Abed • Oued Taga • Chir,Batna
20,Timgad,2,Timgad • Ouled Fadel,Batna
