,Daira,Nombre de communes,Communes,Wilaya
0,Ain Hessaïnia,4,Houari Boumedienne • Medjez Amar • Ras El Agba • Sellaoua Announa,Guelma
1,Ain Makhlouf,3,Ain Larbi • Ain Makhlouf • Tamlouka,Guelma
2,Bouchegouf,4,Ain Ben Beida • Bouchegouf • Medjez Sfa • Oued Ferragha,Guelma
3,Guelaat Bousbâa,6,Belkheir • Beni Mezline • Boumahra Ahmed • Djeballah Khemissi • Guelaat Bousbaa • Nechmaya,Guelma
4,Guelma,2,Bendjarah • Guelma,Guelma
5,Hammam Debagh,3,Bou Hamdane • Hammam Debagh • Roknia,Guelma
6,Hammam N’Bails,3,Dahouara • Hammam N'Bail • Oued Cheham,Guelma
7,Héliopolis,3,Bouati Mahmoud • El Fedjoudj • Heliopolis,Guelma
8,Khezarra,3,Ain Sandel • Bou Hachana • Khezaras,Guelma
9,Oued Zenati,3,Ain Regada • Bordj Sabath • Oued Zenati,Guelma
