,Daira,Nombre de communes,Communes,Wilaya
0,Chekfa,4,Bordj Tahar • Chekfa • El Kennar Nouchfi • Sidi Abdelaziz,Jijel
1,Djimla,2,Boudriaa Ben Yadjis • Djimla,Jijel
2,El Ancer,4,Djemaa Beni Habibi • Bouraoui Belhadef • El Ancer • Kheïri Oued Adjoul,Jijel
3,El Aouana,2,El Aouana • Selma Benziada,Jijel
4,El Milia,2,El Milia • Ouled Yahia Khedrouche,Jijel
5,Jijel,1,Jijel,Jijel
6,Settara,2,Ghebala • Settara,Jijel
7,Sidi Maarouf,2,Ouled Rabah • Sidi Maarouf,Jijel
8,Taher,5,Boucif Ouled Askeur • Chahna • Emir Abdelkader • Ouadjana • Taher,Jijel
9,Texenna,2,Kaous • Texenna,Jijel
10,Ziama Mansouriah,2,Eraguene • Ziama Mansouriah,Jijel
