,Daira,Nombre de communes,Communes,Wilaya
0,Oran,1,Oran,Oran
1,Aïn El Turk,4,Aïn El Turk • Bousfer • El Ançor • Mers El Kébir,Oran
2,Arzew,2,Arzew • Sidi Benyebka,Oran
3,Bethioua,3,Aïn El Bia • Bethioua • Marsat El Hadjadj,Oran
4,Es Sénia,3,El Kerma • Es Senia • Sidi Chami,Oran
5,Bir El Djir,3,Bir El Djir • Hassi Ben Okba • Hassi Bounif,Oran
6,Boutlélis,3,Aïn El Kerma • Boutlélis • Misserghin,Oran
7,Oued Tlelat,4,Boufatis • El Braya • Oued Tlelat • Tafraoui,Oran
8,Gdyel,3,Ben Freha • Gdyel • Hassi Mefsoukh,Oran
