,Daira,Nombre de communes,Communes,Wilaya
0,Aïn Kechra,2,Aïn Kechra • Ouldja Boulballout,Skikda
1,Azzaba,5,Aïn Charchar • Azzaba • Djendel Saadi Mohamed • El Ghedir • Es Sebt,Skikda
2,Ben Azzouz,3,Ben Azzouz • Bekkouche Lakhdar • El Marsa,Skikda
3,Collo,3,Beni Zid • Cheraia • Collo,Skikda
4,El Hadaiek,3,Aïn Zouit • Bouchtata • El Hadaiek,Skikda
5,El Harrouch,5,El Harrouch • Emdjez Edchich • Ouled Hbaba • Salah Bouchaour • Zerdaza,Skikda
6,Ouled Attia,3,Kheneg Mayoum • Oued Zehour • Ouled Attia,Skikda
7,Oum Toub,1,Oum Toub,Skikda
8,Ramdane Djamel,2,Beni Bechir • Ramdane Djamel,Skikda
9,Sidi Mezghiche,3,Aïn Bouziane • Beni Oulbane • Sidi Mezghiche,Skikda
10,Skikda,3,Filfila • Hamadi Krouma • Skikda . Stora.,Skikda
11,Tamalous,3,Bin El Ouiden • Kerkera • Tamalous,Skikda
12,Zitouna,2,Kanoua • Zitouna,Skikda
