,Daira,Nombre de communes,Communes,Wilaya
0,Aïn El Arbaa,4,Aïn El Arbaa • Tamzoura • Sidi Boumedienne • Oued Sebbah,Aïn-Témouchent
1,Ain Kihal,4,Aïn Kihal • Aghlal • Aïn Tolba • Aoubellil,Aïn-Témouchent
2,Aïn Témouchent,2,Aïn Témouchent • Sidi Ben Adda,Aïn-Témouchent
3,Beni Saf,3,Beni Saf • Sidi Safi • El Emir Abdelkader,Aïn-Témouchent
4,El Amria,5,El Amria • Bouzedjar • Ouled Boudjemaa • M'Said • Hassi El Ghella,Aïn-Témouchent
5,El Malah,4,El Malah • Terga • Chaabat El Leham • Ouled Kihal,Aïn-Témouchent
6,Hammam Bou Hadjar,4,Hammam Bou Hadjar • Oued Berkeche • Chentouf • Hassasna,Aïn-Témouchent
7,Oulhaça El Gheraba,2,Oulhaça El Gheraba • Sidi Ouriache,Aïn-Témouchent
