,Daira,Nombre de communes,Communes,Wilaya
0,Bab El Oued,5,Bab El-Oued • Casbah • Bologhine • Oued Koriche • Raïs Hamidou,Alger
1,Baraki,3,Baraki • Les Eucalyptus • Sidi Moussa,Alger
2,Bir Mourad Raïs,5,Bir Mourad Raïs • Birkhadem • Gue de Constantine • Hydra • Saoula,Alger
3,Birtouta,3,Birtouta • Ouled Chebel • Tessala El Merdja,Alger
4,Bouzareah,4,Ben Aknoun • Beni Messous • Bouzareah • El-Biar,Alger
5,Chéraga,5,Aïn Benian • Cheraga • Dely Ibrahim • Ouled Fayet • El Hammamet,Alger
6,Dar El Beïda,7,Aïn Taya • Bab Ezzouar • Bordj El Bahri • Bordj El Kiffan • Dar El Beïda • El Marsa • Mohammadia,Alger
7,Draria,5,Baba Hassen • Douera • Draria • El Achour • Khraïssia,Alger
8,El Harrach,4,Bachdjerrah • Bourouba • El Harrach • Oued Smar,Alger
9,Hussein Dey,4,Belouizdad • El Magharia • Hussein Dey • Kouba,Alger
10,Rouïba,3,H'raoua • Reghaïa • Rouïba,Alger
11,Sidi M'Hamed,4,Alger-Centre • El Madania • El Mouradia • Sidi M'Hamed,Alger
12,Zéralda,5,Mahelma • Rahmania • Souidania • Staoueli • Zeralda,Alger
