,Daira,Nombre de communes,Communes,Wilaya
0,Aïn Fares,2,Aïn Fares • Mamounia,Mascara
1,Aïn Fekan,2,Aïn Fekan • Aïn Fras,Mascara
2,Aouf,3,Aouf • Gharrous • Beniane,Mascara
3,Bou Hanifia,3,Bou Hanifia • El Guettana • Hacine,Mascara
4,El Bordj,3,El Bordj • Khalouia • El Menaouer,Mascara
5,Ghriss,5,Ghriss • Makdha • Matemore • Sidi Boussaid • Maoussa,Mascara
6,Hachem,3,Hachem • Zelmata • Nesmoth,Mascara
7,Mascara,1,Mascara,Mascara
8,Mohammadia,6,Mohammadia • El Ghomri • Ferraguig • Mocta Douz • Sedjerara • Sidi Abdelmoumen,Mascara
9,Oggaz,3,Oggaz • Alaïmia • Ras El Aïn Amirouche,Mascara
10,Oued El Abtal,3,Oued El Abtal • Aïn Ferah • Sidi Abdeldjebar,Mascara
11,Oued Taria,2,Oued Taria • Guerdjoum,Mascara
12,Sig,3,Sig • Chorfa • Bou Henni,Mascara
13,Tighennif,3,Tighennif • Sidi Kada • Sehailia,Mascara
14,Tizi,3,Tizi • Froha • El Keurt,Mascara
15,Zahana,2,El Gaada • Zahana,Mascara
