,Daira,Nombre de communes,Communes,Wilaya
0,Ammari,3,Ammari • Maacem • Sidi Abed,Tissemsilt
1,Bordj Bou Naama,4,Bordj Bou Naama • Beni Chaib • Beni Lahcene • Sidi Slimane,Tissemsilt
2,Bordj El Emir Abdelkader,2,Bordj El Emir Abdelkader • Youssoufia,Tissemsilt
3,Khemisti,2,Khemisti • Layoune,Tissemsilt
4,Lardjem,4,Lardjem • Melaab • Sidi Lantri • Tamalaht,Tissemsilt
5,Lazharia,3,Lazharia • Boucaid • Larbaâ,Tissemsilt
6,Theniet El Had,2,Theniet El Had • Sidi Boutouchent,Tissemsilt
7,Tissemsilt,2,Tissemsilt • Ouled Bessem,Tissemsilt
