,Daira,Nombre de communes,Communes,Wilaya
0,Tébessa,1,Tébessa,Tébessa
1,El Kouif,3,Bekkaria • Boulhaf Dir • El Kouif,Tébessa
2,Morsott,2,Bir Dheb • Morsott,Tébessa
3,El Ma Labiodh,2,El Houidjbet • El Ma Labiodh,Tébessa
4,El Aouinet,2,Boukhadra • El Aouinet,Tébessa
5,Ouenza,3,Aïn Zerga • El Meridj • Ouenza,Tébessa
6,Bir Mokkadem,3,Hammamet • Guorriguer • Bir Mokkadem,Tébessa
7,Bir el-Ater,2,Ogla Melha • Bir el-Ater,Tébessa
8,El Ogla,4,El Mezeraa • Bedjene • Stah Guentis • El Ogla,Tébessa
9,Oum Ali,2,Safsaf El Ouesra • Oum Ali,Tébessa
10,Negrine,2,Ferkane • Negrine,Tébessa
11,Cheria,2,Tlidjene • Cheria,Tébessa
